Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Dependants,Age
Graduation,Married,28691.0,1,0,5,4,13,8,0,4,1,25
PhD,Married,56223.0,0,1,77,28,31,16,0,4,1,66
Graduation,Married,18100.0,0,0,3,1,2,4,3,1,0,68
Graduation,Single,30279.0,1,0,10,4,14,4,4,1,1,25
2n Cycle,Married,20130.0,0,0,0,6,3,7,6,12,0,40
Graduation,Divorced,23295.0,0,0,0,0,1,2,12,5,0,55
Master,Divorced,42618.0,1,0,76,14,74,13,5,10,1,42
Graduation,Single,81246.0,0,0,398,190,537,61,156,37,0,50
Graduation,Married,24027.0,1,0,14,7,11,11,0,5,1,38
PhD,Married,55707.0,0,1,208,7,82,30,66,35,1,61
Graduation,Single,57959.0,0,1,430,16,322,43,24,33,1,59
Graduation,Married,56796.0,0,1,656,38,161,62,47,37,1,45
Master,Single,36230.0,1,0,14,2,30,8,2,3,1,43
2n Cycle,Married,70829.0,1,1,141,70,106,72,19,23,2,34
Graduation,Married,65991.0,0,1,507,19,364,25,47,9,1,38
Graduation,Married,38988.0,1,2,164,24,103,12,3,42,3,42
2n Cycle,Single,89572.0,0,0,606,24,974,197,194,64,0,48
Master,Married,42207.0,1,0,116,11,72,3,17,46,1,30
Graduation,Married,50300.0,0,1,143,15,60,24,23,5,1,62
2n Cycle,Together,66664.0,0,0,398,96,447,220,96,32,0,32
Graduation,Married,60597.0,0,1,522,0,257,32,16,66,1,50
Graduation,Widow,70165.0,0,0,161,0,253,199,191,122,0,65
PhD,Widow,50520.0,0,1,112,0,6,2,1,14,1,56
Graduation,Married,80124.0,0,0,483,84,398,205,84,241,0,51
Graduation,Married,33183.0,1,0,7,5,39,17,15,37,1,39
PhD,Single,66582.0,0,0,789,25,420,16,38,0,0,45
PhD,Together,75261.0,0,0,1239,17,413,23,34,17,0,59
Graduation,Widow,31880.0,1,0,4,1,5,2,0,3,1,44
Graduation,Married,53790.0,0,2,335,42,127,28,5,5,2,63
PhD,Together,49269.0,1,0,639,8,166,11,8,58,1,43
Graduation,Married,61456.0,0,1,563,76,384,84,192,89,1,39
Graduation,Married,37406.0,1,0,2,0,8,2,2,3,1,34
PhD,Together,56937.0,1,0,746,8,125,11,8,8,1,33
Graduation,Married,38415.0,1,1,22,1,13,4,0,4,2,36
Graduation,Single,20518.0,1,0,4,1,6,4,1,9,1,26
Graduation,Married,62503.0,0,1,478,0,193,110,75,117,1,58
PhD,Single,41644.0,1,1,20,3,4,2,0,2,2,42
Master,Married,55842.0,0,1,451,0,39,0,4,24,1,37
PhD,Married,62010.0,0,1,371,22,39,6,0,92,1,42
Graduation,Married,41124.0,1,0,281,7,84,15,0,119,1,37
Master,Married,38961.0,1,0,19,7,19,0,1,24,1,41
Master,Divorced,37760.0,1,0,26,3,13,2,10,0,1,42
Graduation,Single,32233.0,1,0,138,15,35,25,11,72,1,40
Graduation,Married,43057.0,0,1,213,2,44,0,2,5,1,39
Master,Together,83151.0,0,0,407,28,100,120,74,18,0,54
PhD,Divorced,78825.0,0,0,483,74,114,169,37,18,0,50
Master,Together,65104.0,0,1,738,0,232,13,20,50,1,38
Graduation,Married,60093.0,0,1,502,12,109,16,6,90,1,40
Graduation,Married,14045.0,1,0,11,0,5,2,1,1,1,45
2n Cycle,Widow,28457.0,0,0,24,1,108,29,29,14,0,62
PhD,Together,78952.0,0,1,1170,19,594,99,76,134,1,56
Graduation,Divorced,46310.0,1,0,185,2,88,15,5,14,1,38
Graduation,Together,76005.0,0,0,983,20,389,240,50,40,0,59
Master,Single,58308.0,0,1,691,0,69,10,0,130,1,50
PhD,Divorced,55614.0,0,0,504,13,131,8,0,26,0,70
Master,Divorced,59432.0,0,1,317,25,265,25,19,12,1,52
Graduation,Divorced,55563.0,0,1,29,1,9,2,0,2,1,36
PhD,Together,78642.0,0,1,1396,0,322,46,35,17,1,43
PhD,Together,67911.0,0,1,529,0,356,63,28,0,1,65
Graduation,Married,65275.0,0,0,388,14,218,91,14,21,0,70
Graduation,Together,27203.0,1,1,13,2,21,4,0,24,2,64
Master,Together,48330.0,0,1,28,0,4,0,0,0,1,53
Basic,Married,24279.0,0,0,16,36,21,20,62,108,0,24
PhD,Married,64355.0,1,0,1047,0,140,67,38,153,1,29
Master,Together,50943.0,0,1,31,0,7,2,0,6,1,58
Graduation,Widow,53653.0,0,0,815,10,239,28,10,108,0,61
Graduation,Married,65665.0,0,1,225,162,387,106,36,29,1,38
Graduation,Single,81217.0,0,0,493,70,324,146,40,84,0,25
Graduation,Married,34935.0,0,0,34,4,66,3,10,20,0,22
Graduation,Divorced,61250.0,0,1,382,138,65,60,26,59,1,55
PhD,Together,39665.0,1,0,127,1,56,0,1,31,1,33
Graduation,Single,60152.0,0,1,325,83,300,86,58,91,1,35
Graduation,Married,48920.0,0,2,238,17,68,8,10,6,2,50
Master,Together,89120.0,0,0,1168,92,408,72,129,55,0,55
PhD,Together,44124.0,0,1,284,0,55,0,6,52,1,68
Master,Single,81169.0,0,0,1288,20,613,80,61,27,0,39
Graduation,Married,36443.0,1,1,65,0,46,4,3,20,2,53
Graduation,Single,26095.0,1,0,11,7,9,3,1,11,1,24
Graduation,Together,71367.0,0,0,227,23,389,42,21,75,0,55
Master,Married,80184.0,0,0,1035,134,670,25,38,0,0,70
Graduation,Divorced,30630.0,1,1,27,1,12,2,0,10,2,49
Master,Single,73454.0,0,0,982,73,351,56,14,175,0,27
Graduation,Married,42691.0,0,0,179,2,64,38,17,58,0,23
Graduation,Married,70503.0,0,0,1379,33,216,0,33,66,0,61
Graduation,Married,25545.0,1,0,32,1,64,16,12,85,1,27
Graduation,Married,32880.0,1,0,8,4,15,7,6,2,1,28
PhD,Together,77863.0,0,0,881,38,319,16,25,12,0,56
Master,Married,50353.0,0,0,141,15,153,67,31,35,0,37
Graduation,Single,61839.0,0,0,1000,155,379,224,17,120,0,50
PhD,Married,49154.0,1,1,206,10,67,30,27,71,2,54
2n Cycle,Widow,47682.0,0,1,162,61,83,97,57,61,1,39
Graduation,Single,72679.0,0,1,619,54,260,127,54,54,1,45
Master,Together,57954.0,1,1,456,4,24,0,0,9,2,37
Graduation,Married,65316.0,1,1,112,6,92,3,9,38,2,52
Graduation,Single,28567.0,1,0,11,3,22,2,2,6,1,32
Master,Together,47352.0,0,1,172,12,112,8,0,15,1,63
Graduation,Together,44931.0,0,1,78,0,11,0,0,7,1,47
Graduation,Divorced,76982.0,0,0,464,151,292,65,60,30,0,47
2n Cycle,Together,57247.0,0,1,99,4,32,37,54,6,1,62
Master,Single,22944.0,1,0,19,3,19,4,5,26,1,33
2n Cycle,Together,25315.0,1,0,1,9,8,11,3,22,1,37
Graduation,Widow,43638.0,0,1,63,10,83,7,19,19,1,45
PhD,Single,42710.0,1,0,252,3,42,4,3,102,1,30
PhD,Married,84169.0,0,0,1478,19,403,0,19,0,0,32
Graduation,Together,54058.0,0,1,198,18,252,32,108,54,1,38
2n Cycle,Married,24683.0,1,0,8,4,10,6,7,6,1,24
Graduation,Widow,85620.0,0,0,416,46,925,60,107,46,0,50
Graduation,Married,47850.0,1,0,42,7,43,20,12,10,1,34
Graduation,Married,19514.0,1,1,14,3,21,2,1,28,2,46
Master,Married,27159.0,1,1,17,0,3,0,0,1,2,41
2n Cycle,Single,39548.0,1,1,15,4,10,3,4,18,2,51
Graduation,Single,21474.0,1,0,6,16,24,11,0,34,1,25
PhD,Single,60504.0,0,1,458,0,24,6,4,34,1,43
Graduation,Married,22419.0,0,0,30,3,47,19,21,42,0,51
Master,Married,81698.0,0,0,179,28,520,111,123,47,0,65
Graduation,Together,43462.0,1,1,90,17,97,15,6,15,2,62
PhD,Single,54880.0,1,0,308,85,137,102,45,118,1,36
Graduation,Married,79908.0,0,0,557,129,761,29,185,111,0,32
2n Cycle,Married,15315.0,0,0,7,4,13,15,8,17,0,44
Graduation,Together,87771.0,0,1,1492,38,287,50,57,33,1,55
Graduation,Married,33039.0,1,0,30,8,12,8,8,12,1,36
Graduation,Single,81741.0,0,0,249,153,940,58,134,38,0,34
Master,Together,71499.0,0,1,465,25,132,136,0,37,1,43
2n Cycle,Married,62466.0,0,1,129,129,259,168,121,83,1,44
PhD,Divorced,48799.0,0,1,174,18,81,28,6,24,1,51
PhD,Together,52157.0,0,1,189,2,29,3,2,40,1,64
Graduation,Single,66565.0,0,1,747,10,161,65,40,42,1,52
Master,Together,29298.0,1,1,6,0,2,2,0,1,2,63
Graduation,Single,47691.0,0,1,14,0,3,0,0,4,1,35
Graduation,Together,38200.0,1,1,12,0,4,0,0,1,2,44
Graduation,Married,44989.0,0,1,98,0,106,49,10,106,1,40
PhD,Married,38443.0,1,1,32,0,5,0,0,1,2,46
2n Cycle,Single,38593.0,1,0,51,12,49,17,24,24,1,36
PhD,Together,64413.0,0,1,200,5,44,0,10,20,1,44
Master,Married,36959.0,1,0,25,6,25,6,0,0,1,33
PhD,Married,61996.0,0,1,1050,12,144,0,0,24,1,37
Graduation,Married,51287.0,1,1,117,0,22,13,0,30,2,46
Graduation,Married,13260.0,1,1,9,4,17,10,2,7,2,44
PhD,Together,47472.0,1,1,56,0,11,0,0,8,2,48
Master,Together,54603.0,1,1,145,13,46,17,2,4,2,58
PhD,Married,45207.0,1,1,203,0,10,0,0,2,2,40
Graduation,Together,40689.0,0,1,270,3,27,39,6,99,1,63
2n Cycle,Together,47821.0,1,1,9,0,16,6,6,10,2,47
Master,Married,27450.0,0,0,37,12,23,8,11,52,0,63
Graduation,Together,39453.0,1,0,46,0,7,0,0,2,1,31
2n Cycle,Together,26850.0,1,1,31,1,13,7,2,9,2,43
Graduation,Widow,79800.0,0,0,1060,21,530,32,0,224,0,59
Master,Married,61794.0,0,1,264,47,188,54,47,11,1,53
Graduation,Together,53863.0,0,1,399,4,30,6,4,30,1,59
Graduation,Together,24221.0,0,0,8,9,9,2,5,22,0,55
PhD,Single,39684.0,1,0,19,0,35,6,4,17,1,30
Master,Married,92163.0,0,0,817,183,797,106,163,20,0,39
Master,Single,69882.0,0,0,292,127,635,132,127,165,0,49
Graduation,Together,33178.0,1,0,12,6,2,11,2,16,1,37
PhD,Married,59973.0,0,0,130,30,168,20,34,0,0,42
Master,Together,17459.0,1,0,6,4,16,3,10,30,1,39
Graduation,Divorced,23910.0,1,0,16,12,18,7,1,13,1,45
Master,Married,42169.0,1,1,19,0,9,0,0,2,2,45
2n Cycle,Married,26224.0,1,0,4,7,15,13,9,15,1,36
Graduation,Together,31089.0,1,0,31,3,31,2,8,4,1,33
Graduation,Single,30081.0,0,1,36,0,2,0,0,4,1,53
Graduation,Together,62807.0,0,1,526,28,135,10,21,99,1,54
Graduation,Single,72906.0,0,0,400,32,519,71,75,54,0,59
PhD,Married,61467.0,0,2,410,16,114,0,5,49,2,66
Master,Together,49618.0,1,1,80,3,26,4,2,14,2,48
Master,Single,21888.0,1,0,88,10,46,2,3,64,1,28
Graduation,Widow,42429.0,0,1,55,0,6,2,0,4,1,41
Graduation,Divorced,26150.0,2,1,5,1,13,3,5,1,3,58
Basic,Married,30801.0,0,1,8,4,5,15,2,11,1,39
Graduation,Married,81168.0,0,0,410,0,592,147,22,22,0,49
Master,Single,26877.0,0,0,101,13,76,20,18,40,0,45
Master,Widow,45006.0,0,0,162,25,53,16,0,10,0,70
Basic,Married,18978.0,1,0,2,8,1,4,7,15,1,41
Graduation,Married,22574.0,2,1,25,0,8,2,0,2,3,47
PhD,Single,48240.0,0,0,389,91,248,64,49,41,0,45
Graduation,Married,45837.0,1,1,215,13,87,17,17,24,2,40
Master,Single,35791.0,2,1,27,0,5,0,0,3,3,49
PhD,Together,162397.0,1,1,85,1,16,2,1,2,2,38
Graduation,Widow,54162.0,1,1,5,6,10,6,5,10,2,36
Master,Married,30522.0,0,1,179,8,83,19,11,26,1,54
PhD,Married,54456.0,0,1,352,0,27,10,0,15,1,53
Graduation,Single,31632.0,0,0,17,8,12,11,15,32,0,43
Graduation,Widow,72298.0,0,0,625,35,169,58,17,35,0,65
2n Cycle,Single,36975.0,1,0,10,6,11,0,4,2,1,36
2n Cycle,Married,72635.0,0,0,390,22,323,104,35,107,0,59
Graduation,Married,13624.0,1,0,10,2,15,2,1,6,1,38
Graduation,Single,84196.0,0,1,215,63,507,231,31,190,1,39
Graduation,Together,70971.0,0,1,1001,17,572,93,125,17,1,54
PhD,Divorced,34487.0,1,1,19,18,33,24,1,8,2,37
Graduation,Single,28769.0,1,0,41,5,129,10,3,3,1,37
PhD,Married,69084.0,1,0,1181,107,199,39,30,30,1,44
PhD,Together,65488.0,0,0,603,45,207,36,18,54,0,56
2n Cycle,Married,62466.0,0,1,129,129,259,168,121,83,1,44
2n Cycle,Single,32218.0,0,0,10,24,15,13,1,30,0,54
Graduation,Single,83917.0,0,0,514,22,732,42,198,79,0,41
Graduation,Divorced,46102.0,2,1,14,0,1,0,0,1,3,52
Graduation,Single,84574.0,0,0,387,20,713,38,54,163,0,62
Graduation,Married,56181.0,0,1,121,103,69,8,44,48,1,52
Master,Divorced,63120.0,0,1,965,69,279,54,41,69,1,64
Graduation,Married,73691.0,0,1,707,21,250,85,43,73,1,43
Graduation,Together,63381.0,0,1,571,50,142,33,50,159,1,54
PhD,Together,76140.0,0,0,586,66,653,17,0,26,0,66
PhD,Divorced,62859.0,0,1,1063,89,102,16,12,25,1,55
Graduation,Single,45906.0,0,1,305,3,27,4,3,144,1,50
Master,Together,77632.0,0,0,1200,105,758,0,42,147,0,67
PhD,Married,46463.0,1,1,163,2,40,8,11,11,2,43
Graduation,Together,105471.0,0,0,1009,181,104,202,21,207,0,44
Master,Divorced,55282.0,1,0,125,6,73,8,4,19,1,44
Master,Married,78710.0,0,1,721,0,152,119,50,50,1,37
Graduation,Together,66886.0,0,1,315,4,62,41,31,146,1,56
Master,Single,98777.0,0,0,1000,19,711,125,115,38,0,54
Graduation,Together,29103.0,1,0,16,0,17,6,3,6,1,29
Graduation,Married,67445.0,0,1,757,80,217,29,80,11,1,40
PhD,Together,50616.0,0,1,30,2,25,0,1,9,1,64
Graduation,Divorced,49431.0,0,1,219,3,100,26,0,17,1,59
Graduation,Divorced,153924.0,0,0,1,1,1,1,1,1,0,39
Graduation,Together,61278.0,0,1,111,3,28,2,6,15,1,61
2n Cycle,Together,26490.0,0,0,45,47,52,21,20,25,0,56
PhD,Together,73059.0,0,1,410,112,420,0,82,71,1,67
PhD,Single,46734.0,1,2,100,1,39,6,1,76,3,48
Graduation,Together,56253.0,0,1,509,0,65,7,11,5,1,51
Graduation,Married,19986.0,1,0,3,6,5,0,2,6,1,29
Graduation,Widow,58330.0,0,1,445,53,213,104,98,151,1,39
Basic,Married,25965.0,0,0,2,2,11,41,7,11,0,34
Master,Together,14661.0,0,0,4,1,11,6,2,2,0,58
Graduation,Married,18690.0,0,0,6,1,7,23,4,19,0,55
PhD,Together,45068.0,0,1,14,0,3,0,0,3,1,40
Basic,Single,21063.0,1,0,1,10,11,19,3,15,1,27
PhD,Married,29187.0,1,0,26,0,6,0,0,2,1,46
2n Cycle,Married,54690.0,1,1,111,16,37,7,9,18,2,43
PhD,Married,59304.0,0,1,418,61,428,80,51,10,1,50
Master,Single,59247.0,0,2,327,9,122,19,14,83,2,52
Graduation,Widow,66731.0,0,1,371,159,194,58,106,141,1,44
Graduation,Married,77353.0,0,1,275,59,107,69,101,59,1,34
PhD,Single,52614.0,0,1,789,0,142,12,9,38,1,39
Graduation,Married,26751.0,2,0,1,1,5,0,3,1,2,40
PhD,Married,81300.0,0,1,1004,12,145,32,12,36,1,51
Graduation,Single,70337.0,0,0,187,81,149,25,43,91,0,35
2n Cycle,Married,36145.0,1,0,56,4,76,17,1,18,1,29
PhD,Single,65295.0,0,0,365,32,117,34,110,6,0,34
Graduation,Divorced,68118.0,0,1,595,23,123,10,23,154,1,51
Graduation,Divorced,68743.0,0,0,1132,134,384,175,134,115,0,47
2n Cycle,Together,41039.0,0,0,34,11,137,179,61,45,0,32
Graduation,Together,38946.0,0,1,116,6,82,6,6,41,1,59
Graduation,Together,65777.0,0,0,565,32,435,28,32,54,0,47
PhD,Divorced,66476.0,0,1,372,18,126,47,48,78,1,38
PhD,Single,86857.0,0,0,899,102,838,133,102,40,0,42
PhD,Married,160803.0,0,0,55,16,1622,17,3,4,0,32
PhD,Together,77845.0,0,0,760,40,480,0,40,26,0,25
PhD,Together,69476.0,0,0,260,86,559,63,9,67,0,45
PhD,Divorced,50611.0,0,1,459,0,24,6,0,4,1,54
Graduation,Single,61209.0,0,0,466,0,224,119,49,99,0,44
Master,Together,42315.0,0,1,67,15,80,17,11,80,1,56
Basic,Together,13084.0,0,0,2,0,7,3,7,10,0,62
Master,Widow,47570.0,1,1,67,1,20,0,2,31,2,65
Master,Married,61923.0,0,2,92,4,18,3,3,6,2,53
Graduation,Single,34824.0,0,0,4,2,11,2,0,4,0,19
PhD,Single,26518.0,1,1,20,1,28,3,3,2,2,65
Graduation,Single,45938.0,0,0,273,11,178,62,83,29,0,53
Graduation,Together,78468.0,0,0,434,22,388,104,22,34,0,54
Graduation,Divorced,78901.0,0,1,321,11,309,33,26,34,1,41
Graduation,Married,71427.0,2,0,212,123,177,15,64,23,2,36
Graduation,Divorced,71022.0,0,1,909,12,278,0,12,242,1,36
Master,Single,90247.0,0,0,1184,32,352,21,16,16,0,26
Master,Divorced,41335.0,1,0,112,19,21,16,14,5,1,46
Graduation,Married,71952.0,1,0,656,80,455,52,107,93,1,28
PhD,Divorced,35682.0,1,0,23,0,8,6,2,18,1,44
Graduation,Divorced,43185.0,0,1,537,6,42,16,6,30,1,63
PhD,Together,66375.0,0,1,712,0,45,0,0,191,1,66
Master,Married,35178.0,1,0,23,1,13,2,2,18,1,43
Graduation,Married,25252.0,1,0,1,3,4,2,2,6,1,28
Master,Single,55250.0,0,1,664,58,83,32,0,66,1,49
Graduation,Single,33249.0,1,0,6,10,21,19,14,42,1,39
Graduation,Together,58398.0,0,0,299,5,201,21,21,49,0,61
Graduation,Together,50272.0,1,0,99,13,66,43,8,4,1,32
PhD,Married,76618.0,0,0,749,40,294,121,160,147,0,39
2n Cycle,Divorced,87305.0,0,0,345,25,501,63,138,80,0,54
Graduation,Together,25851.0,1,0,9,4,18,7,5,5,1,36
Graduation,Divorced,58710.0,0,1,440,81,368,0,122,174,1,44
Graduation,Single,45160.0,1,1,8,2,5,3,0,3,2,56
Master,Married,74806.0,0,1,670,9,249,0,28,9,1,49
Graduation,Married,59111.0,0,0,524,0,134,28,28,155,0,60
PhD,Married,18988.0,1,0,6,0,6,2,1,1,1,30
Graduation,Married,72190.0,0,0,597,166,597,172,166,249,0,49
Graduation,Married,7500.0,1,0,7,0,12,13,7,32,1,38
Graduation,Married,44794.0,0,1,54,0,7,0,0,4,1,48
Graduation,Married,80395.0,0,0,445,25,706,80,76,48,0,59
Master,Divorced,75012.0,0,0,294,142,218,164,58,151,0,38
Master,Married,56962.0,2,1,292,3,77,10,3,26,3,49
Graduation,Together,89891.0,0,0,412,22,132,59,28,183,0,23
PhD,Divorced,35946.0,1,1,8,0,3,0,0,0,2,65
PhD,Together,53593.0,1,1,349,4,78,6,0,43,2,61
Graduation,Married,66373.0,1,1,328,9,124,12,24,109,2,36
PhD,Divorced,45072.0,1,2,144,2,99,7,2,30,3,66
Graduation,Divorced,89694.0,1,1,1126,28,211,37,28,42,2,41
Graduation,Married,72025.0,0,0,967,0,617,43,50,0,0,65
Graduation,Married,67432.0,0,1,432,79,341,177,136,170,1,41
Master,Together,70545.0,0,1,138,39,63,55,18,21,1,62
Basic,Married,17487.0,1,0,0,0,1,7,4,6,1,25
Graduation,Together,62882.0,0,1,509,133,497,78,24,97,1,45
PhD,Single,64108.0,0,1,948,10,86,13,21,21,1,61
Master,Together,34941.0,1,1,39,2,25,4,3,24,2,58
PhD,Single,48767.0,1,2,28,1,21,3,0,10,3,64
2n Cycle,Together,38702.0,1,0,13,11,24,13,8,40,1,36
Graduation,Married,82224.0,0,0,307,26,360,138,31,40,0,50
Graduation,Together,83844.0,0,0,901,31,345,75,31,191,0,62
2n Cycle,Married,17003.0,1,0,2,5,12,4,8,7,1,39
Graduation,Single,71163.0,0,0,283,17,372,138,106,44,0,19
Graduation,Single,33697.0,1,0,4,3,7,0,3,11,1,44
2n Cycle,Married,63564.0,0,0,769,80,252,15,34,65,0,60
PhD,Together,83443.0,0,0,518,42,742,55,56,84,0,42
PhD,Together,51518.0,0,1,350,8,66,17,4,4,1,56
Graduation,Widow,58330.0,0,1,445,53,213,104,98,151,1,39
Graduation,Married,80952.0,0,0,778,178,689,41,27,44,0,45
Graduation,Together,75507.0,0,0,709,93,374,104,80,80,0,35
2n Cycle,Together,63855.0,0,0,359,35,314,93,116,89,0,36
PhD,Together,62220.0,0,1,799,12,375,16,12,12,1,42
Graduation,Married,58512.0,0,1,895,10,101,13,0,152,1,50
Master,Married,40662.0,1,0,40,2,23,0,4,23,1,35
PhD,Married,38829.0,0,1,76,0,7,0,0,16,1,55
2n Cycle,Married,35523.0,1,0,11,5,22,12,5,11,1,33
Graduation,Single,79146.0,1,1,245,16,223,21,43,16,2,47
Master,Married,78285.0,0,0,647,107,391,175,67,40,0,26
PhD,Single,31626.0,1,0,39,1,9,2,1,34,1,36
Graduation,Single,75127.0,0,0,203,35,305,46,17,227,0,62
Graduation,Married,48726.0,0,1,138,3,38,4,0,59,1,59
Graduation,Married,74985.0,0,0,587,51,898,247,0,86,0,37
Graduation,Together,67430.0,0,0,595,97,291,127,133,121,0,27
2n Cycle,Married,46891.0,0,1,43,12,23,29,15,61,1,49
Master,Married,62058.0,0,1,301,7,74,10,0,58,1,58
Graduation,Married,72063.0,0,1,180,32,348,76,32,90,1,35
PhD,Married,78939.0,0,0,794,115,243,150,0,205,0,63
Graduation,Single,42720.0,1,1,392,5,91,28,26,112,2,49
Graduation,Married,33622.0,1,1,39,1,22,3,4,12,2,42
PhD,Together,6835.0,0,1,107,2,12,2,2,12,1,57
Graduation,Together,41452.0,1,1,13,0,3,0,0,0,2,61
PhD,Single,40760.0,0,1,70,0,17,0,0,6,1,49
PhD,Together,74250.0,0,0,680,11,392,75,0,0,0,56
Master,Single,51124.0,1,1,26,1,11,0,1,4,2,59
Graduation,Single,72258.0,0,1,522,0,522,227,120,134,1,43
PhD,Single,71466.0,0,0,412,12,546,78,182,0,0,40
Graduation,Together,36283.0,1,1,6,5,5,8,0,5,2,38
Graduation,Single,20587.0,1,0,2,3,6,4,1,9,1,44
Graduation,Married,30467.0,1,0,1,3,8,2,5,5,1,42
Graduation,Together,31590.0,1,0,6,2,15,6,6,3,1,42
Basic,Married,20425.0,1,0,4,12,5,3,16,17,1,28
Master,Together,17144.0,1,1,18,2,19,0,2,6,2,54
PhD,Divorced,42564.0,0,1,324,48,186,39,18,198,1,46
Master,Married,43783.0,1,0,327,9,125,25,4,139,1,36
Graduation,Divorced,40780.0,0,1,229,27,71,13,3,34,1,38
Master,Together,62847.0,0,0,521,168,706,80,76,61,0,69
PhD,Married,82017.0,0,0,184,23,446,30,23,23,0,57
Graduation,Single,16813.0,0,0,4,8,11,12,2,13,0,64
Graduation,Married,51267.0,1,1,183,2,64,7,2,12,2,36
Graduation,Single,46524.0,0,1,31,19,35,26,14,52,1,53
Master,Single,45183.0,0,0,219,3,60,12,9,12,0,52
PhD,Married,70421.0,0,1,479,28,136,75,14,35,1,60
2n Cycle,Divorced,60161.0,0,1,584,44,212,46,8,177,1,49
Graduation,Together,73926.0,0,0,627,91,597,159,91,15,0,41
Graduation,Married,19329.0,1,0,24,1,16,12,2,5,1,46
Master,Married,61872.0,0,1,330,5,159,36,27,16,1,44
Graduation,Widow,46984.0,1,1,19,1,10,2,1,8,2,58
Graduation,Married,34838.0,1,1,28,23,29,29,14,47,2,63
PhD,Single,82716.0,0,0,606,148,228,15,148,22,0,70
Graduation,Married,48192.0,0,0,1039,43,204,153,58,29,0,56
Master,Married,49681.0,0,2,411,0,26,0,0,21,2,38
Master,Married,56850.0,0,1,34,1,19,2,7,0,1,43
Graduation,Married,55267.0,0,1,161,28,136,32,3,45,1,57
Graduation,Married,59666.0,1,1,623,53,178,23,17,133,2,42
Graduation,Single,72504.0,0,1,604,26,470,123,161,94,1,42
Graduation,Married,26872.0,0,0,3,10,8,3,16,32,0,33
Graduation,Single,21359.0,1,0,12,2,17,6,1,10,1,42
Graduation,Single,73170.0,0,0,184,174,256,50,30,32,0,39
Master,Married,52750.0,0,1,393,0,239,90,69,69,1,59
PhD,Together,91820.0,0,0,410,73,747,76,161,30,0,28
PhD,Together,65968.0,0,1,376,9,83,19,4,4,1,44
Graduation,Married,30772.0,1,1,7,2,4,2,1,4,2,38
Graduation,Single,22507.0,0,0,68,0,226,51,157,68,0,60
Graduation,Married,65685.0,0,1,642,14,49,0,7,57,1,42
2n Cycle,Married,25804.0,1,0,8,7,9,13,6,12,1,36
PhD,Single,76412.0,0,0,840,53,804,23,71,17,0,34
Graduation,Married,22063.0,1,0,7,10,13,3,11,11,1,42
Graduation,Single,57091.0,0,0,464,5,64,7,0,37,0,53
Graduation,Married,22419.0,0,0,30,3,47,19,21,42,0,51
Graduation,Together,87771.0,0,1,1492,38,287,50,57,33,1,55
2n Cycle,Divorced,78353.0,0,1,752,122,476,39,153,34,1,55
Graduation,Married,93404.0,1,2,1279,15,287,20,0,15,3,60
Graduation,Divorced,37859.0,1,2,22,1,8,2,1,2,3,52
PhD,Widow,80995.0,0,1,860,28,409,73,56,56,1,56
Graduation,Together,16529.0,1,0,3,0,5,13,0,1,1,30
PhD,Divorced,55412.0,1,1,10,5,28,11,1,8,2,38
Graduation,Single,48789.0,0,0,351,16,156,7,5,145,0,22
PhD,Together,56575.0,0,2,421,5,90,0,16,10,2,47
2n Cycle,Together,25130.0,1,0,2,5,7,0,18,18,1,34
Graduation,Married,35441.0,1,1,25,1,9,2,1,1,2,47
Graduation,Married,71391.0,0,1,336,123,274,46,123,141,1,58
Master,Single,49494.0,1,0,191,9,97,0,6,82,1,42
Graduation,Divorced,81702.0,0,0,563,50,774,28,31,187,0,34
2n Cycle,Single,45889.0,0,1,31,0,6,0,1,8,1,34
Graduation,Single,56628.0,0,1,479,5,82,7,17,171,1,37
Graduation,Together,34026.0,1,1,18,6,15,12,8,17,2,64
Graduation,Married,40049.0,0,1,91,65,52,10,44,28,1,40
Graduation,Single,34176.0,1,0,5,7,24,19,14,20,1,26
Graduation,Married,19419.0,1,0,2,14,28,16,3,7,1,33
2n Cycle,Married,82504.0,0,0,362,50,431,134,35,54,0,54
Graduation,Together,81205.0,0,0,724,74,929,97,55,130,0,44
2n Cycle,Single,61618.0,0,0,605,91,399,0,45,205,0,23
Master,Single,55284.0,0,1,547,7,140,0,7,63,1,58
Graduation,Single,49980.0,0,1,104,1,54,13,9,14,1,51
Graduation,Married,15072.0,2,0,8,2,15,0,10,18,2,34
Graduation,Single,49166.0,0,1,224,2,25,7,0,110,1,40
PhD,Married,65324.0,0,1,384,0,102,21,32,5,1,60
2n Cycle,Married,82347.0,0,0,556,54,845,202,133,63,0,57
PhD,Together,30843.0,1,1,24,0,2,0,0,9,2,48
PhD,Married,46374.0,0,1,408,0,21,0,0,17,1,40
Graduation,Single,60474.0,0,1,265,199,303,234,9,170,1,35
Master,Married,38576.0,0,1,34,0,7,0,0,0,1,41
Graduation,Married,55357.0,2,0,374,64,116,84,25,64,2,29
Graduation,Together,37758.0,1,1,27,2,10,0,0,1,2,48
2n Cycle,Married,85710.0,0,0,600,20,350,29,30,33,0,25
Graduation,Together,23228.0,1,0,13,2,18,6,1,0,1,45
Master,Together,44602.0,1,1,167,2,89,0,0,34,2,45
